iter	Passed	Remaining
684	4247	615862
685	4253	615816
686	4259	615769
687	4265	615707
688	4271	615649
689	4277	615638
690	4283	615576
691	4289	615551
692	4295	615495
693	4301	615461
694	4307	615406
695	4312	615350
696	4318	615308
697	4324	615276
698	4330	615239
699	4336	615193
700	4342	615169
701	4348	615141
702	4354	615118
703	4360	615097
704	4366	615056
705	4372	614997
706	4378	614961
707	4384	614907
708	4390	614849
709	4396	614812
710	4402	614771
711	4408	614732
712	4414	614690
713	4420	614672
714	4426	614641
715	4432	614592
716	4438	614573
717	4444	614504
718	4449	614458
719	4456	614439
720	4461	614390
721	4467	614339
722	4473	614317
723	4479	614287
724	4485	614253
725	4491	614216
726	4497	614180
727	4503	614140
728	4509	614091
729	4515	614030
730	4521	613989
731	4527	613954
732	4533	613919
733	4539	613896
734	4545	613864
735	4551	613820
736	4557	613772
737	4562	613720
738	4568	613688
739	4574	613639
740	4580	613596
741	4586	613564
742	4592	613514
743	4598	613485
744	4604	613453
745	4610	613419
746	4616	613390
747	4622	613347
748	4628	613294
749	4634	613246
750	4639	613195
751	4645	613172
752	4651	613127
753	4657	613078
754	4663	613027
755	4669	612996
756	4675	612962
757	4681	612936
758	4687	612945
759	4693	612915
760	4699	612865
761	4705	612842
762	4711	612808
763	4717	612776
764	4723	612742
765	4729	612707
766	4735	612666
767	4741	612623
768	4747	612577
769	4753	612534
770	4759	612505
771	4765	612477
772	4771	612435
773	4777	612409
774	4783	612385
775	4789	612357
776	4794	612311
777	4801	612332
778	4807	612303
779	4813	612276
780	4819	612254
781	4825	612235
782	4831	612197
783	4837	612146
784	4843	612119
785	4849	612076
786	4854	612041
787	4860	611993
788	4866	611960
789	4872	611949
790	4878	611904
791	4884	611889
792	4890	611870
793	4896	611839
794	4902	611790
795	4908	611747
796	4914	611718
797	4920	611675
798	4926	611637
799	4932	611597
800	4938	611556
801	4943	611509
802	4950	611491
803	4955	611456
804	4961	611415
805	4967	611390
806	4973	611363
807	4979	611336
808	4985	611295
809	4991	611262
810	5040	616463
811	5046	616459
812	5052	616441
813	5058	616401
814	5064	616370
815	5070	616362
816	5076	616329
817	5082	616295
818	5088	616257
819	5094	616200
820	5100	616157
821	5106	616111
822	5112	616075
823	5118	616048
824	5124	616014
825	5130	615980
826	5136	615932
827	5142	615905
828	5148	615868
829	5154	615911
830	5160	615869
831	5166	615842
832	5172	615830
833	5178	615787
834	5184	615748
835	5190	615707
836	5196	615673
837	5202	615656
838	5208	615643
839	5215	615629
840	5221	615609
841	5227	615571
842	5233	615536
843	5239	615512
844	5244	615458
845	5250	615428
846	5256	615389
847	5262	615356
848	5268	615305
849	5274	615263
850	5280	615246
851	5286	615211
852	5293	615311
853	5299	615247
854	5305	615205
855	5311	615170
856	5317	615131
857	5327	615639
858	5335	615840
859	5342	615828
860	5348	615807
861	5353	615758
862	5359	615727
863	5365	615694
864	5371	615651
865	5378	615640
866	5383	615607
867	5389	615566
868	5395	615528
869	5401	615501
870	5407	615462
871	5413	615427
872	5419	615386
873	5425	615350
874	5431	615303
875	5437	615275
876	5443	615245
877	5449	615200
878	5455	615205
879	5461	615202
880	5467	615164
881	5473	615137
882	5479	615104
883	5485	615079
884	5491	615045
885	5497	614998
886	5503	614973
887	5509	614944
888	5515	614907
889	5521	614867
890	5527	614844
891	5533	614810
892	5539	614778
893	5545	614747
894	5551	614716
895	5557	614706
896	5563	614673
897	5569	614644
898	5575	614596
899	5581	614624
900	5587	614602
901	5593	614567
902	5599	614525
903	5605	614482
904	5611	614443
905	5617	614415
906	5623	614389
907	5629	614362
908	5635	614334
909	5641	614298
910	5647	614269
911	5653	614237
912	5659	614178
913	5665	614147
914	5671	614122
915	5677	614136
916	5683	614097
917	5689	614071
918	5695	614045
919	5701	614034
920	5707	614002
921	5713	613965
922	5719	613933
923	5725	613896
924	5731	613868
925	5737	613836
926	5743	613795
927	5749	613756
928	5755	613739
929	5761	613721
930	5767	613688
931	5773	613659
932	5779	613626
933	5785	613598
934	5790	613564
935	5797	613549
936	5803	613533
937	5809	613495
938	5814	613460
939	5821	613435
940	5827	613419
941	5833	613398
942	5839	613394
943	5845	613385
944	5851	613366
945	5857	613356
946	5863	613344
947	5870	613333
948	5876	613308
949	5882	613277
950	5888	613252
951	5894	613224
952	5900	613216
953	5906	613206
954	5912	613184
955	5918	613172
956	5924	613151
957	5930	613143
958	5936	613125
959	5942	613097
960	5948	613085
961	5954	613051
962	5960	613038
963	5968	613191
964	5974	613163
965	5980	613140
966	5986	613124
967	5993	613132
968	5999	613107
969	6005	613090
970	6011	613080
971	6017	613048
972	6023	613042
973	6051	615276
974	6085	618108
975	6092	618125
976	6098	618122
977	6104	618118
978	6110	618091
979	6117	618074
980	6123	618084
981	6129	618065
982	6136	618107
983	6142	618096
984	6148	618068
985	6154	618050
986	6160	618043
987	6166	618018
988	6173	618003
989	6179	618001
990	6185	617982
991	6191	617957
992	6197	617944
993	6203	617915
994	6209	617894
995	6215	617876
996	6222	617855
997	6228	617831
998	6234	617808
999	6240	617778
1000	6246	617755
1001	6252	617732
1002	6258	617710
1003	6264	617681
1004	6270	617662
1005	6276	617648
1006	6282	617630
1007	6288	617607
1008	6294	617587
1009	6301	617566
1010	6307	617556
1011	6313	617553
1012	6319	617556
1013	6326	617547
1014	6332	617532
1015	6338	617517
1016	6344	617502
1017	6350	617484
1018	6356	617456
1019	6362	617440
1020	6368	617425
1021	6375	617407
1022	6381	617394
1023	6387	617372
1024	6393	617361
1025	6399	617341
1026	6405	617308
1027	6411	617291
1028	6417	617270
1029	6423	617256
1030	6429	617232
1031	6436	617207
1032	6442	617192
1033	6448	617159
1034	6454	617137
1035	6460	617116
1036	6466	617097
1037	6472	617085
1038	6478	617053
1039	6484	617018
1040	6490	616994
