iter	Passed	Remaining
619	5633	903029
620	5641	902765
621	5648	902450
622	5655	902102
623	5662	901821
624	5669	901522
625	5677	901228
626	5686	901173
627	5693	900931
628	5701	900807
629	5709	900612
630	5716	900242
631	5723	899948
632	5731	899717
633	5738	899411
634	5746	899146
635	5753	898891
636	5761	898780
637	5768	898360
638	5775	898081
639	5784	898015
640	5793	897973
641	5801	897923
642	5809	897747
643	5820	898054
644	5828	897745
645	5836	897611
646	5844	897454
647	5852	897306
648	5860	897100
649	5871	897432
650	5879	897240
651	5886	896944
652	5893	896679
653	5900	896354
654	5908	896106
655	5915	895833
656	5923	895633
657	5930	895347
658	5938	895135
659	5944	894811
660	5954	894864
661	5962	894678
662	5970	894586
663	5978	894460
664	5987	894344
665	5996	894413
666	6040	899610
667	6047	899294
668	6057	899324
669	6066	899406
670	6075	899430
671	6084	899282
672	6093	899296
673	6103	899430
674	6120	900637
675	6149	903486
676	6168	905020
677	6180	905398
678	6200	906997
679	6214	907649
680	6234	909273
681	6255	910991
682	6266	911240
683	6277	911432
684	6295	912741
685	6308	913303
686	6325	914392
687	6341	915379
688	6355	916082
689	6364	916070
690	6375	916270
691	6383	916049
692	6390	915748
693	6398	915574
694	6406	915345
695	6413	915052
696	6421	914895
697	6429	914752
698	6442	915228
699	6452	915278
700	6460	915133
701	6468	915039
702	6477	914915
703	6484	914661
704	6493	914541
705	6502	914479
706	6514	914902
707	6523	914809
708	6531	914634
709	6543	915033
710	6551	914887
711	6561	914931
712	6572	915301
713	6582	915348
714	6590	915160
715	6597	914858
716	6605	914640
717	6613	914457
718	6620	914150
719	6628	913986
720	6636	913821
721	6644	913613
722	6652	913447
723	6659	913200
724	6667	912971
725	6675	912839
726	6683	912593
727	6690	912319
728	6698	912221
729	6706	911967
730	6713	911708
731	6721	911493
732	6729	911286
733	6737	911137
734	6748	911352
735	6757	911352
736	6764	911106
737	6772	910911
738	6780	910732
739	6787	910505
740	6795	910244
741	6803	910139
742	6810	909839
743	6817	909548
744	6825	909375
745	6833	909182
746	6841	909001
747	6849	908820
748	6856	908533
749	6863	908277
750	6870	908020
751	6878	907822
752	6885	907537
753	6893	907328
754	6900	907081
755	6907	906830
756	6914	906539
757	6922	906311
758	6931	906271
759	6942	906604
760	6951	906467
761	6960	906433
762	6969	906434
763	6979	906528
764	6987	906389
765	6995	906269
766	7003	906117
767	7012	906134
